SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,TRIP_COMPASS_DIR_CD,INBD_OUTBD_CD,AM Trip Count,PM Trip Count,All Trips,Peak or All Day
181,L,W,I,4,2,39,All Day
181,L,E,O,4,2,39,All Day
182,L,N,I,2,2,21,Peak
182,L,S,O,1,2,21,Peak
183,L,N,I,1,1,30,All Day
183,L,S,O,2,2,29,All Day
184,L,N,I,3,2,42,All Day
184,L,S,O,2,3,42,All Day
187,L,N,I,1,2,23,Peak
187,L,S,O,1,2,23,Peak
190,L,N,I,1,,4,Peak
190,L,S,O,,2,4,Peak
193,E,N,I,2,,8,Peak
193,E,S,O,,2,9,Peak
204,L,N,I,2,1,18,Peak
204,L,S,O,2,2,17,Peak
208,L,W,I,,,8,Peak
208,L,E,O,1,,9,Peak
212,L,W,I,3,2,16,Peak
212,L,E,O,2,3,15,Peak
214,L,W,I,4,,7,Peak
214,L,E,O,,4,6,Peak
216,L,W,I,2,,3,Peak
216,L,E,O,,1,4,Peak
217,L,E,I,2,,4,Peak
217,L,W,O,,1,3,Peak
218,L,W,I,3,,9,Peak
218,L,E,O,,3,10,Peak
221,L,N,I,2,2,31,All Day
221,L,S,O,2,2,32,All Day
224,L,W,I,,1,10,Peak
224,L,E,O,1,,9,Peak
225,L,S,I,2,1,30,All Day
225,L,N,O,2,2,33,All Day
226,L,E,I,2,2,33,All Day
226,L,W,O,2,2,33,All Day
230,L,S,I,2,2,29,All Day
230,L,N,O,2,2,28,All Day
231,L,S,I,2,2,30,All Day
231,L,N,O,2,2,30,All Day
232,L,W,I,2,,4,Peak
232,L,E,O,,1,4,Peak
237,L,S,I,1,,3,Peak
237,L,N,O,,1,2,Peak
239,L,S,I,2,2,34,All Day
239,L,N,O,2,2,34,All Day
240,L,S,I,2,3,43,All Day
240,L,N,O,3,2,40,All Day
241,L,S,I,2,2,32,All Day
241,L,N,O,2,2,32,All Day
245,L,S,I,4,4,57,All Day
245,L,N,O,4,4,56,All Day
246,L,S,I,1,1,14,Peak
246,L,N,O,,1,14,Peak
249,L,W,I,2,2,19,All Day
249,L,E,O,1,2,20,All Day
250,L,S,I,4,5,65,All Day
250,L,N,O,4,4,69,All Day
255,L,W,I,9,5,81,All Day
255,L,E,O,5,7,83,All Day
257,L,W,I,2,,7,Peak
257,L,E,O,,2,6,Peak
268,L,W,I,2,,4,Peak
268,L,E,O,,2,4,Peak
269,L,S,I,2,2,25,All Day
269,L,N,O,2,2,24,All Day
271,L,W,I,6,7,69,All Day
271,L,E,O,7,6,69,All Day
301,L,S,I,3,1,15,Peak
301,L,N,O,3,2,17,Peak
302,L,S,I,1,,4,Peak
302,L,N,O,,2,4,Peak
303,L,S,I,1,,5,Peak
303,L,N,O,,1,5,Peak
304,L,S,I,2,,4,Peak
304,L,N,O,,2,5,Peak
311,L,W,I,3,,11,Peak
311,L,E,O,,2,10,Peak
320,L,S,I,2,,9,Peak
320,L,N,O,,2,8,Peak
322,L,S,I,2,,7,Peak
322,L,N,O,,2,10,Peak
330,L,E,I,1,1,13,Peak
330,L,W,O,1,1,13,Peak
331,L,W,I,3,3,32,All Day
331,L,E,O,3,3,31,All Day
342,L,S,I,,,4,Peak
342,L,N,O,,2,4,Peak
345,L,S,I,3,3,40,All Day
345,L,N,O,3,3,40,All Day
346,L,S,I,3,4,43,All Day
346,L,N,O,3,3,40,All Day
347,L,S,I,3,3,40,All Day
347,L,N,O,3,3,39,All Day
348,L,S,I,3,3,40,All Day
348,L,N,O,3,3,39,All Day
372,E,S,I,8,4,75,All Day
372,E,N,O,4,6,74,All Day
522,E,S,I,3,4,70,All Day
522,E,N,O,3,4,70,All Day
542,E,W,I,3,3,40,All Day
542,E,E,O,3,3,41,All Day
545,E,W,I,7,6,84,All Day
545,E,E,O,6,7,83,All Day
550,E,W,I,7,6,80,All Day
550,E,E,O,6,8,83,All Day
554,E,W,I,4,2,48,All Day
554,E,E,O,2,3,46,All Day
556,E,E,I,,2,9,Peak
556,E,W,O,2,,10,Peak
627,L,N,O,,,5,Peak
629,L,N,I,,1,9,Peak
629,L,S,O,,1,9,Peak
630,L,W,I,1,,4,Peak
630,L,E,O,,2,4,Peak
631,L,E,I,2,2,26,All Day
631,L,W,O,2,2,26,All Day
635,L,N,I,4,3,41,All Day
635,L,S,O,3,4,42,All Day
671,L,N,I,6,6,106,All Day
671,L,S,O,6,6,107,All Day
672,L,W,I,6,6,87,All Day
672,L,E,O,6,6,86,All Day
673,L,N,I,15,8,122,All Day
673,L,S,O,8,12,117,All Day
674,L,S,I,8,8,117,All Day
674,L,N,O,8,8,117,All Day
675,L,S,I,14,6,140,All Day
675,L,N,O,6,13,137,All Day
676,L,W,I,6,6,79,All Day
676,L,E,O,6,6,81,All Day
773,L,S,I,2,1,21,Peak
773,L,N,O,2,2,21,Peak
775,L,S,I,2,1,32,All Day
775,L,N,O,1,1,32,All Day
893,L,S,I,1,,1,Peak
893,L,N,O,,,1,Peak
895,E,N,I,1,,1,Peak
895,E,S,O,,,1,Peak
901,L,N,I,2,2,30,All Day
901,L,S,O,2,2,30,All Day
903,L,N,I,2,2,22,Peak
903,L,S,O,2,2,20,Peak
906,L,W,I,2,3,40,All Day
906,L,E,O,3,3,37,All Day
907,L,N,I,1,1,10,Peak
907,L,S,O,,,8,Peak
914,L,E,O,,2,16,Peak
915,L,W,I,1,1,19,Peak
915,L,E,O,1,2,17,Peak
917,L,N,I,2,1,25,All Day
917,L,S,O,2,2,25,All Day
930,L,W,I,2,2,27,All Day
930,L,E,O,2,2,27,All Day
981,E,E,O,,,1,Peak
982,E,W,I,1,,1,Peak
982,E,E,O,,,1,Peak
984,E,S,I,,,1,Peak
986,E,E,I,,,1,Peak
986,E,W,O,1,,1,Peak
987,E,N,I,,,1,Peak
987,E,S,O,,,1,Peak
988,E,N,I,1,,1,Peak
988,E,S,O,,,1,Peak
989,E,E,I,,,1,Peak
989,E,W,O,,,1,Peak
994,E,N,I,,,1,Peak
994,E,S,O,,,1,Peak
