SERVICE_RTE_NUM,EXPRESS_LOCAL_CD,TRIP_COMPASS_DIR_CD,INBD_OUTBD_CD,AM Trip Count,PM Trip Count,All Trips,Peak or All Day
1,L,S,I,4,4,68,All Day
1,L,N,O,4,4,68,All Day
2,L,N,I,5,5,83,All Day
2,L,S,O,5,5,81,All Day
3,L,N,I,6,4,85,All Day
3,L,S,O,4,4,80,All Day
4,L,N,I,3,3,48,All Day
4,L,S,O,4,5,54,All Day
5,E,S,I,6,,13,Peak
5,E,N,O,,5,13,Peak
5,L,S,I,6,4,82,All Day
5,L,N,O,4,4,79,All Day
7,L,N,I,7,8,123,All Day
7,L,S,O,8,6,123,All Day
8,L,E,I,5,5,84,All Day
8,L,W,O,5,5,83,All Day
9,E,N,I,4,1,16,Peak
9,E,S,O,2,2,14,Peak
10,L,S,I,6,6,93,All Day
10,L,N,O,6,7,94,All Day
11,L,S,I,4,4,73,All Day
11,L,N,O,4,4,73,All Day
12,L,S,I,6,6,84,All Day
12,L,N,O,9,6,88,All Day
13,L,S,I,4,4,50,All Day
13,L,N,O,5,4,51,All Day
14,L,N,I,4,4,69,All Day
14,L,S,O,4,4,69,All Day
15,E,S,I,7,,13,Peak
15,E,N,O,,5,10,Peak
17,E,S,I,4,,11,Peak
17,E,N,O,,3,9,Peak
18,E,S,I,4,,8,Peak
18,E,N,O,,4,9,Peak
19,L,S,I,3,,5,Peak
19,L,N,O,,2,6,Peak
21,E,N,I,4,,11,Peak
21,E,S,O,,4,11,Peak
21,L,N,I,4,3,68,All Day
21,L,S,O,4,4,69,All Day
22,L,N,I,1,1,15,Peak
22,L,S,O,1,1,14,Peak
24,L,S,I,4,2,41,All Day
24,L,N,O,2,4,41,All Day
26,E,S,I,5,2,45,All Day
26,E,N,O,2,3,42,All Day
27,L,N,I,2,3,34,All Day
27,L,S,O,2,2,35,All Day
28,E,S,I,9,2,56,All Day
28,E,N,O,2,5,46,All Day
29,L,S,I,4,,12,Peak
29,L,N,O,,4,12,Peak
31,L,E,I,3,3,35,All Day
31,L,W,O,3,3,34,All Day
32,L,E,I,4,3,45,All Day
32,L,W,O,3,3,42,All Day
33,L,S,I,3,2,41,All Day
33,L,N,O,2,3,38,All Day
36,L,N,I,7,8,132,All Day
36,L,S,O,7,11,132,All Day
37,E,N,I,1,,4,Peak
37,L,S,O,,2,4,Peak
40,L,S,I,10,6,102,All Day
40,L,N,O,6,12,106,All Day
41,L,S,I,12,4,104,All Day
41,L,N,O,4,13,105,All Day
43,L,S,I,2,,23,Peak
43,L,N,O,3,2,20,Peak
44,L,S,I,7,8,117,All Day
44,L,N,O,7,7,110,All Day
45,L,E,I,8,6,86,All Day
45,L,W,O,5,8,89,All Day
47,L,S,I,4,3,35,All Day
47,L,N,O,3,3,35,All Day
48,L,S,I,6,6,109,All Day
48,L,N,O,7,5,102,All Day
49,L,S,I,5,5,98,All Day
49,L,N,O,6,5,98,All Day
50,L,W,I,3,3,46,All Day
50,L,E,O,3,3,46,All Day
55,L,N,I,4,,11,Peak
55,L,S,O,,4,12,Peak
56,L,N,I,3,,10,Peak
56,L,S,O,,3,9,Peak
57,L,N,I,3,,5,Peak
57,L,S,O,,2,5,Peak
60,L,N,I,4,4,66,All Day
60,L,S,O,4,4,63,All Day
62,L,S,I,8,4,82,All Day
62,L,N,O,4,6,81,All Day
63,E,S,I,3,,8,Peak
63,E,N,O,,2,10,Peak
64,E,S,I,3,,7,Peak
64,E,N,O,,3,9,Peak
65,L,S,I,7,6,105,All Day
65,L,N,O,6,7,107,All Day
67,L,S,I,6,6,107,All Day
67,L,N,O,7,6,105,All Day
70,L,S,I,7,5,113,All Day
70,L,N,O,8,8,109,All Day
71,L,S,I,2,2,31,All Day
71,L,N,O,3,2,31,All Day
73,L,S,I,,,14,All Day
73,L,N,O,,,18,All Day
74,L,S,I,5,,24,All Day
74,L,N,O,,4,22,All Day
75,L,S,I,6,6,78,All Day
75,L,N,O,4,6,79,All Day
76,L,S,I,5,,15,Peak
76,L,N,O,,4,13,Peak
77,E,S,I,5,,12,Peak
77,E,N,O,,3,10,Peak
78,L,W,I,2,1,20,All Day
78,L,E,O,2,1,20,All Day
101,L,N,I,4,4,59,All Day
101,L,S,O,4,5,64,All Day
102,L,N,I,2,,12,Peak
102,L,S,O,,5,12,Peak
105,L,S,I,2,2,37,All Day
105,L,N,O,2,2,34,All Day
106,L,N,I,5,4,67,All Day
106,L,S,O,4,4,66,All Day
107,L,N,I,4,4,49,All Day
107,L,S,O,2,4,47,All Day
111,L,N,I,3,,10,Peak
111,L,S,O,,3,9,Peak
113,L,N,I,1,1,7,Peak
113,L,S,O,,2,4,Peak
114,L,N,I,4,,8,Peak
114,L,S,O,,3,6,Peak
116,E,N,I,4,,10,Peak
116,E,S,O,,3,7,Peak
118,E,N,I,,,2,Peak
118,E,S,O,,1,2,Peak
118,L,N,I,1,2,18,Peak
118,L,S,O,1,1,16,Peak
