geoid,name,pov_quintile,poc_quintile,foreign_born_quintile,lep_quintile,disability_quintile,race_score,pov_score,lep_score,disability_score,foreign_born_score,final_score,acs_year
530330066002,"Block Group 2, Census Tract 66, King County, Washington",4,3,3,1,3,1.2000000000000002,1.2,0.1,0.30000000000000004,0.30000000000000004,3,2019
530330067001,"Block Group 1, Census Tract 67, King County, Washington",1,5,5,5,3,2,0.3,0.5,0.30000000000000004,0.5,4,2019
530330067002,"Block Group 2, Census Tract 67, King County, Washington",3,4,5,5,3,1.6,0.8999999999999999,0.5,0.30000000000000004,0.5,4,2019
530330067003,"Block Group 3, Census Tract 67, King County, Washington",3,2,3,1,1,0.8,0.8999999999999999,0.1,0.1,0.30000000000000004,2,2019
530330067004,"Block Group 4, Census Tract 67, King County, Washington",3,2,2,1,5,0.8,0.8999999999999999,0.1,0.5,0.2,2,2019
530330068001,"Block Group 1, Census Tract 68, King County, Washington",1,1,3,2,1,0.4,0.3,0.2,0.1,0.30000000000000004,1,2019
530330068002,"Block Group 2, Census Tract 68, King County, Washington",2,2,3,2,2,0.8,0.6,0.2,0.2,0.30000000000000004,2,2019
530330069001,"Block Group 1, Census Tract 69, King County, Washington",2,1,2,1,2,0.4,0.6,0.1,0.2,0.2,2,2019
530330069002,"Block Group 2, Census Tract 69, King County, Washington",1,2,2,1,2,0.8,0.3,0.1,0.2,0.2,2,2019
530330069003,"Block Group 3, Census Tract 69, King County, Washington",2,1,1,1,4,0.4,0.6,0.1,0.4,0.1,2,2019
530330069004,"Block Group 4, Census Tract 69, King County, Washington",2,2,2,3,2,0.8,0.6,0.30000000000000004,0.2,0.2,2,2019
530330070001,"Block Group 1, Census Tract 70, King County, Washington",2,1,2,4,3,0.4,0.6,0.4,0.30000000000000004,0.2,2,2019
530330070002,"Block Group 2, Census Tract 70, King County, Washington",3,1,2,4,4,0.4,0.8999999999999999,0.4,0.4,0.2,2,2019
530330070003,"Block Group 3, Census Tract 70, King County, Washington",3,4,4,4,5,1.6,0.8999999999999999,0.4,0.5,0.4,4,2019
530330070004,"Block Group 4, Census Tract 70, King County, Washington",3,2,1,1,5,0.8,0.8999999999999999,0.1,0.5,0.1,2,2019
530330070005,"Block Group 5, Census Tract 70, King County, Washington",3,1,1,3,3,0.4,0.8999999999999999,0.30000000000000004,0.30000000000000004,0.1,2,2019
530330070006,"Block Group 6, Census Tract 70, King County, Washington",1,1,1,1,4,0.4,0.3,0.1,0.4,0.1,1,2019
530330071001,"Block Group 1, Census Tract 71, King County, Washington",4,5,5,5,5,2,1.2,0.5,0.5,0.5,5,2019
530330071002,"Block Group 2, Census Tract 71, King County, Washington",5,5,5,4,5,2,1.5,0.4,0.5,0.5,5,2019
530330072001,"Block Group 1, Census Tract 72, King County, Washington",5,5,5,5,5,2,1.5,0.5,0.5,0.5,5,2019
530330072002,"Block Group 2, Census Tract 72, King County, Washington",5,5,5,5,2,2,1.5,0.5,0.2,0.5,5,2019
530330072003,"Block Group 3, Census Tract 72, King County, Washington",5,5,5,1,5,2,1.5,0.1,0.5,0.5,5,2019
530330073001,"Block Group 1, Census Tract 73, King County, Washington",5,5,5,5,5,2,1.5,0.5,0.5,0.5,5,2019
530330073002,"Block Group 2, Census Tract 73, King County, Washington",5,5,5,4,5,2,1.5,0.4,0.5,0.5,5,2019
530330073003,"Block Group 3, Census Tract 73, King County, Washington",3,5,5,3,3,2,0.8999999999999999,0.30000000000000004,0.30000000000000004,0.5,4,2019
530330074011,"Block Group 1, Census Tract 74.01, King County, Washington",2,3,2,3,1,1.2000000000000002,0.6,0.30000000000000004,0.1,0.2,2,2019
530330074012,"Block Group 2, Census Tract 74.01, King County, Washington",4,4,4,5,4,1.6,1.2,0.5,0.4,0.4,4,2019
530330074013,"Block Group 3, Census Tract 74.01, King County, Washington",3,3,3,1,3,1.2000000000000002,0.8999999999999999,0.1,0.30000000000000004,0.30000000000000004,3,2019
530330074014,"Block Group 4, Census Tract 74.01, King County, Washington",3,2,2,1,4,0.8,0.8999999999999999,0.1,0.4,0.2,2,2019
530330074021,"Block Group 1, Census Tract 74.02, King County, Washington",5,4,3,3,5,1.6,1.5,0.30000000000000004,0.5,0.30000000000000004,4,2019
530330074022,"Block Group 2, Census Tract 74.02, King County, Washington",5,3,2,1,5,1.2000000000000002,1.5,0.1,0.5,0.2,4,2019
530330074023,"Block Group 3, Census Tract 74.02, King County, Washington",5,4,4,4,5,1.6,1.5,0.4,0.5,0.4,4,2019
530330075001,"Block Group 1, Census Tract 75, King County, Washington",4,4,1,1,2,1.6,1.2,0.1,0.2,0.1,3,2019
530330075002,"Block Group 2, Census Tract 75, King County, Washington",4,1,1,1,5,0.4,1.2,0.1,0.5,0.1,2,2019
530330075003,"Block Group 3, Census Tract 75, King County, Washington",3,3,4,5,5,1.2000000000000002,0.8999999999999999,0.5,0.5,0.4,4,2019
530330075004,"Block Group 4, Census Tract 75, King County, Washington",5,4,3,1,5,1.6,1.5,0.1,0.5,0.30000000000000004,4,2019
530330075005,"Block Group 5, Census Tract 75, King County, Washington",4,2,3,1,5,0.8,1.2,0.1,0.5,0.30000000000000004,3,2019
530330076001,"Block Group 1, Census Tract 76, King County, Washington",4,3,2,5,1,1.2000000000000002,1.2,0.5,0.1,0.2,3,2019
530330076002,"Block Group 2, Census Tract 76, King County, Washington",5,3,3,4,5,1.2000000000000002,1.5,0.4,0.5,0.30000000000000004,4,2019
530330076003,"Block Group 3, Census Tract 76, King County, Washington",3,1,1,1,3,0.4,0.8999999999999999,0.1,0.30000000000000004,0.1,2,2019
530330077001,"Block Group 1, Census Tract 77, King County, Washington",2,3,2,1,1,1.2000000000000002,0.6,0.1,0.1,0.2,2,2019
530330077002,"Block Group 2, Census Tract 77, King County, Washington",1,2,3,3,1,0.8,0.3,0.30000000000000004,0.1,0.30000000000000004,2,2019
530330077003,"Block Group 3, Census Tract 77, King County, Washington",3,3,1,1,4,1.2000000000000002,0.8999999999999999,0.1,0.4,0.1,3,2019
530330077004,"Block Group 4, Census Tract 77, King County, Washington",4,3,3,1,4,1.2000000000000002,1.2,0.1,0.4,0.30000000000000004,3,2019
530330078001,"Block Group 1, Census Tract 78, King County, Washington",1,1,3,1,2,0.4,0.3,0.1,0.2,0.30000000000000004,1,2019
530330078002,"Block Group 2, Census Tract 78, King County, Washington",3,3,2,1,5,1.2000000000000002,0.8999999999999999,0.1,0.5,0.2,3,2019
530330078003,"Block Group 3, Census Tract 78, King County, Washington",2,2,1,1,1,0.8,0.6,0.1,0.1,0.1,2,2019
530330078004,"Block Group 4, Census Tract 78, King County, Washington",2,1,1,1,1,0.4,0.6,0.1,0.1,0.1,1,2019
530330079001,"Block Group 1, Census Tract 79, King County, Washington",3,2,2,1,3,0.8,0.8999999999999999,0.1,0.30000000000000004,0.2,2,2019
530330079002,"Block Group 2, Census Tract 79, King County, Washington",4,3,3,3,2,1.2000000000000002,1.2,0.30000000000000004,0.2,0.30000000000000004,3,2019
530330079003,"Block Group 3, Census Tract 79, King County, Washington",2,1,1,1,4,0.4,0.6,0.1,0.4,0.1,2,2019
530330079004,"Block Group 4, Census Tract 79, King County, Washington",4,2,1,1,3,0.8,1.2,0.1,0.30000000000000004,0.1,3,2019
530330079005,"Block Group 5, Census Tract 79, King County, Washington",5,3,3,3,3,1.2000000000000002,1.5,0.30000000000000004,0.30000000000000004,0.30000000000000004,4,2019
530330080011,"Block Group 1, Census Tract 80.01, King County, Washington",4,4,5,1,5,1.6,1.2,0.1,0.5,0.5,4,2019
530330080012,"Block Group 2, Census Tract 80.01, King County, Washington",4,2,3,5,5,0.8,1.2,0.5,0.5,0.30000000000000004,3,2019
530330080013,"Block Group 3, Census Tract 80.01, King County, Washington",2,4,5,1,1,1.6,0.6,0.1,0.1,0.5,3,2019
530330080014,"Block Group 4, Census Tract 80.01, King County, Washington",2,3,4,1,1,1.2000000000000002,0.6,0.1,0.1,0.4,2,2019
530330080015,"Block Group 5, Census Tract 80.01, King County, Washington",2,2,4,1,1,0.8,0.6,0.1,0.1,0.4,2,2019
530330080021,"Block Group 1, Census Tract 80.02, King County, Washington",5,4,4,5,5,1.6,1.5,0.5,0.5,0.4,4,2019
530330080022,"Block Group 2, Census Tract 80.02, King County, Washington",4,4,4,5,3,1.6,1.2,0.5,0.30000000000000004,0.4,4,2019
530330081001,"Block Group 1, Census Tract 81, King County, Washington",3,3,3,1,4,1.2000000000000002,0.8999999999999999,0.1,0.4,0.30000000000000004,3,2019
530330081002,"Block Group 2, Census Tract 81, King County, Washington",5,4,3,4,5,1.6,1.5,0.4,0.5,0.30000000000000004,4,2019
530330081003,"Block Group 3, Census Tract 81, King County, Washington",4,2,2,4,5,0.8,1.2,0.4,0.5,0.2,3,2019
530330082001,"Block Group 1, Census Tract 82, King County, Washington",4,4,4,5,4,1.6,1.2,0.5,0.4,0.4,4,2019
530330082002,"Block Group 2, Census Tract 82, King County, Washington",4,3,3,3,5,1.2000000000000002,1.2,0.30000000000000004,0.5,0.30000000000000004,4,2019
530330082003,"Block Group 3, Census Tract 82, King County, Washington",2,3,3,4,4,1.2000000000000002,0.6,0.4,0.4,0.30000000000000004,3,2019
530330083001,"Block Group 1, Census Tract 83, King County, Washington",4,3,3,5,1,1.2000000000000002,1.2,0.5,0.1,0.30000000000000004,3,2019
530330083002,"Block Group 2, Census Tract 83, King County, Washington",5,4,5,4,5,1.6,1.5,0.4,0.5,0.5,4,2019
530330084001,"Block Group 1, Census Tract 84, King County, Washington",3,4,3,3,3,1.6,0.8999999999999999,0.30000000000000004,0.30000000000000004,0.30000000000000004,3,2019
530330084002,"Block Group 2, Census Tract 84, King County, Washington",4,4,4,5,4,1.6,1.2,0.5,0.4,0.4,4,2019
530330084003,"Block Group 3, Census Tract 84, King County, Washington",4,3,2,3,5,1.2000000000000002,1.2,0.30000000000000004,0.5,0.2,3,2019
530330085001,"Block Group 1, Census Tract 85, King County, Washington",3,3,4,4,2,1.2000000000000002,0.8999999999999999,0.4,0.2,0.4,3,2019
530330085002,"Block Group 2, Census Tract 85, King County, Washington",2,2,2,4,3,0.8,0.6,0.4,0.30000000000000004,0.2,2,2019
530330085003,"Block Group 3, Census Tract 85, King County, Washington",4,5,3,5,3,2,1.2,0.5,0.30000000000000004,0.30000000000000004,4,2019
530330086001,"Block Group 1, Census Tract 86, King County, Washington",5,4,3,3,5,1.6,1.5,0.30000000000000004,0.5,0.30000000000000004,4,2019
530330086002,"Block Group 2, Census Tract 86, King County, Washington",5,5,4,3,3,2,1.5,0.30000000000000004,0.30000000000000004,0.4,4,2019
530330086003,"Block Group 3, Census Tract 86, King County, Washington",4,4,4,5,2,1.6,1.2,0.5,0.2,0.4,4,2019
530330087001,"Block Group 1, Census Tract 87, King County, Washington",4,3,2,1,5,1.2000000000000002,1.2,0.1,0.5,0.2,3,2019
530330087002,"Block Group 2, Census Tract 87, King County, Washington",5,5,3,2,5,2,1.5,0.2,0.5,0.30000000000000004,4,2019
530330087003,"Block Group 3, Census Tract 87, King County, Washington",4,3,3,3,3,1.2000000000000002,1.2,0.30000000000000004,0.30000000000000004,0.30000000000000004,3,2019
530330088001,"Block Group 1, Census Tract 88, King County, Washington",2,2,2,2,2,0.8,0.6,0.2,0.2,0.2,2,2019
530330088002,"Block Group 2, Census Tract 88, King County, Washington",3,4,2,1,3,1.6,0.8999999999999999,0.1,0.30000000000000004,0.2,3,2019
530330088003,"Block Group 3, Census Tract 88, King County, Washington",4,5,1,1,4,2,1.2,0.1,0.4,0.1,4,2019
530330089001,"Block Group 1, Census Tract 89, King County, Washington",1,2,2,1,1,0.8,0.3,0.1,0.1,0.2,2,2019
530330089002,"Block Group 2, Census Tract 89, King County, Washington",5,5,5,5,3,2,1.5,0.5,0.30000000000000004,0.5,5,2019
530330089003,"Block Group 3, Census Tract 89, King County, Washington",5,4,3,5,3,1.6,1.5,0.5,0.30000000000000004,0.30000000000000004,4,2019
530330089004,"Block Group 4, Census Tract 89, King County, Washington",2,4,2,1,2,1.6,0.6,0.1,0.2,0.2,3,2019
530330090001,"Block Group 1, Census Tract 90, King County, Washington",4,4,3,4,4,1.6,1.2,0.4,0.4,0.30000000000000004,4,2019
530330090002,"Block Group 2, Census Tract 90, King County, Washington",5,5,5,5,5,2,1.5,0.5,0.5,0.5,5,2019
530330091001,"Block Group 1, Census Tract 91, King County, Washington",5,4,5,5,3,1.6,1.5,0.5,0.30000000000000004,0.5,4,2019
530330091002,"Block Group 2, Census Tract 91, King County, Washington",5,5,5,5,5,2,1.5,0.5,0.5,0.5,5,2019
530330092001,"Block Group 1, Census Tract 92, King County, Washington",5,4,5,5,5,1.6,1.5,0.5,0.5,0.5,5,2019
530330092002,"Block Group 2, Census Tract 92, King County, Washington",5,3,3,3,5,1.2000000000000002,1.5,0.30000000000000004,0.5,0.30000000000000004,4,2019
530330093001,"Block Group 1, Census Tract 93, King County, Washington",2,2,1,4,4,0.8,0.6,0.4,0.4,0.1,2,2019
530330093002,"Block Group 2, Census Tract 93, King County, Washington",4,3,2,1,5,1.2000000000000002,1.2,0.1,0.5,0.2,3,2019
530330093003,"Block Group 3, Census Tract 93, King County, Washington",3,4,3,4,3,1.6,0.8999999999999999,0.4,0.30000000000000004,0.30000000000000004,4,2019
530330094001,"Block Group 1, Census Tract 94, King County, Washington",5,5,5,5,2,2,1.5,0.5,0.2,0.5,5,2019
530330094002,"Block Group 2, Census Tract 94, King County, Washington",5,4,3,5,2,1.6,1.5,0.5,0.2,0.30000000000000004,4,2019
530330094003,"Block Group 3, Census Tract 94, King County, Washington",3,4,3,4,1,1.6,0.8999999999999999,0.4,0.1,0.30000000000000004,3,2019
530330094004,"Block Group 4, Census Tract 94, King County, Washington",1,4,5,5,2,1.6,0.3,0.5,0.2,0.5,3,2019
530330094005,"Block Group 5, Census Tract 94, King County, Washington",4,4,4,3,3,1.6,1.2,0.30000000000000004,0.30000000000000004,0.4,4,2019
530330095001,"Block Group 1, Census Tract 95, King County, Washington",4,3,2,1,3,1.2000000000000002,1.2,0.1,0.30000000000000004,0.2,3,2019
530330095002,"Block Group 2, Census Tract 95, King County, Washington",3,4,2,4,5,1.6,0.8999999999999999,0.4,0.5,0.2,4,2019
530330095003,"Block Group 3, Census Tract 95, King County, Washington",3,2,1,1,2,0.8,0.8999999999999999,0.1,0.2,0.1,2,2019
530330095004,"Block Group 4, Census Tract 95, King County, Washington",4,5,5,5,3,2,1.2,0.5,0.30000000000000004,0.5,4,2019
530330096001,"Block Group 1, Census Tract 96, King County, Washington",1,1,1,3,1,0.4,0.3,0.30000000000000004,0.1,0.1,1,2019
530330096002,"Block Group 2, Census Tract 96, King County, Washington",3,1,1,1,4,0.4,0.8999999999999999,0.1,0.4,0.1,2,2019
530330096003,"Block Group 3, Census Tract 96, King County, Washington",1,2,2,1,3,0.8,0.3,0.1,0.30000000000000004,0.2,2,2019
530330096004,"Block Group 4, Census Tract 96, King County, Washington",1,3,2,1,2,1.2000000000000002,0.3,0.1,0.2,0.2,2,2019
530330096005,"Block Group 5, Census Tract 96, King County, Washington",2,2,2,3,2,0.8,0.6,0.30000000000000004,0.2,0.2,2,2019
530330097011,"Block Group 1, Census Tract 97.01, King County, Washington",3,3,2,2,1,1.2000000000000002,0.8999999999999999,0.2,0.1,0.2,3,2019
530330097012,"Block Group 2, Census Tract 97.01, King County, Washington",1,1,1,1,2,0.4,0.3,0.1,0.2,0.1,1,2019
530330097013,"Block Group 3, Census Tract 97.01, King County, Washington",2,2,1,1,2,0.8,0.6,0.1,0.2,0.1,2,2019
530330097014,"Block Group 4, Census Tract 97.01, King County, Washington",3,1,2,1,4,0.4,0.8999999999999999,0.1,0.4,0.2,2,2019
530330097021,"Block Group 1, Census Tract 97.02, King County, Washington",1,1,1,3,3,0.4,0.3,0.30000000000000004,0.30000000000000004,0.1,1,2019
530330097022,"Block Group 2, Census Tract 97.02, King County, Washington",3,1,1,1,3,0.4,0.8999999999999999,0.1,0.30000000000000004,0.1,2,2019
530330097023,"Block Group 3, Census Tract 97.02, King County, Washington",1,1,1,1,5,0.4,0.3,0.1,0.5,0.1,1,2019
530330097024,"Block Group 4, Census Tract 97.02, King County, Washington",1,1,1,1,3,0.4,0.3,0.1,0.30000000000000004,0.1,1,2019
530330097025,"Block Group 5, Census Tract 97.02, King County, Washington",1,1,1,1,2,0.4,0.3,0.1,0.2,0.1,1,2019
530330098001,"Block Group 1, Census Tract 98, King County, Washington",2,2,1,4,1,0.8,0.6,0.4,0.1,0.1,2,2019
530330098002,"Block Group 2, Census Tract 98, King County, Washington",1,1,1,1,1,0.4,0.3,0.1,0.1,0.1,1,2019
530330098003,"Block Group 3, Census Tract 98, King County, Washington",3,3,2,1,3,1.2000000000000002,0.8999999999999999,0.1,0.30000000000000004,0.2,3,2019
530330098004,"Block Group 4, Census Tract 98, King County, Washington",3,2,2,1,4,0.8,0.8999999999999999,0.1,0.4,0.2,2,2019
530330098005,"Block Group 5, Census Tract 98, King County, Washington",3,2,2,1,5,0.8,0.8999999999999999,0.1,0.5,0.2,2,2019
530330099001,"Block Group 1, Census Tract 99, King County, Washington",2,1,1,1,2,0.4,0.6,0.1,0.2,0.1,1,2019
